annoaccademico,immatricolabile,corso_codice,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
2019/2020,True,9072,Chimica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9072,Bologna,Bologna,Scienze,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9073,Geologia e territorio,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9073,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9074,Photochemistry and molecular materials,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9074,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9075,Biodiversità ed evoluzione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9075,Bologna,Bologna,Scienze,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9076,Beni culturali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9076,Ravenna,Ravenna,Studi umanistici,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
2019/2020,True,9077,Scienze del libro e del documento,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9077,Ravenna,Ravenna,Studi umanistici,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2019/2020,True,9078,Pharmacy,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9078,Rimini,Rimini,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,5,True,,Erogato in lingua straniera,Inglese,numero chiuso
2019/2020,True,9079,"Tecniche di radiologia medica, per immagini e radioterapia (abilitante alla professione sanitaria di tecnico di radiologia medica)",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9079,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,9080,Logopedia (abilitante alla professione sanitaria di logopedista),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9080,Ravenna,Faenza,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2019/2020,True,9081,Medical biotechnology,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2019/9081,Bologna,Bologna,Medicina e Chirurgia,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
